Relative Time(s),Temperature(C)
2.87,22.56
5.66,22.56
8.44,22.56
11.23,22.56
14.01,22.56
16.80,22.56
19.58,22.56
22.37,22.56
25.15,22.56
27.94,22.56
30.72,22.56
33.51,22.56
36.29,22.56
39.08,22.56
41.86,22.56
44.65,22.56
47.43,22.56
50.22,22.56
53.00,22.62
55.79,23.19
58.57,24.00
61.36,24.56
64.14,24.75
66.93,24.12
69.71,23.69
72.50,23.44
75.28,23.25
78.07,23.06
80.85,23.00
83.64,22.87
86.42,22.81
89.20,22.75
91.99,22.75
94.77,22.69
97.56,22.69
100.34,22.62
103.13,22.62
105.91,22.56
108.70,22.56
111.48,22.56
114.27,22.56
117.05,22.56
119.84,22.50
122.62,22.50
125.41,22.50
128.19,22.50
130.98,22.50
133.76,22.50
136.55,22.50
139.33,22.50
142.12,22.50
144.90,22.50
147.69,22.50
150.47,22.56
153.26,22.56
156.04,22.50
158.83,22.50
161.61,22.50
164.40,22.50
167.18,22.50
169.97,22.50
